row_index,slippage_pred,fee_pred,impact_pred,net_cost,prob_taker,latency_ms
0,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.01578899991727667
1,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.005955000233370811
2,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.004313999852456618
3,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0036229998841008637
4,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.00347400009559351
5,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.003315999947517412
6,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.003105999894614797
7,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0028879999263153877
8,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002647999735927442
9,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.00277700019069016
10,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0028780000320693944
11,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0035949997254647315
12,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0026159996195929125
13,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0027209998734178953
14,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002522000158933224
15,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002597000275272876
16,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002517999746487476
17,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0025260001166316215
18,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0026410002647025976
19,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0025159997676382773
20,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024510000002919696
21,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002610999672469916
